theta_mrad,x_mslt_cm,x_fslt_cm
4.6799,0.20676,1.05613
2.2055,0.15698,1.38714
13.0432,nan,nan
6.4090,0.60324,nan
11.2588,0.57848,1.56681
-9.4950,nan,nan
-0.0212,-0.41814,-2.15102
10.2301,0.69191,1.92975
0.6251,0.00486,0.74350
1.9065,-0.28571,-1.40399
2.8525,-0.07746,-0.39237
19.4530,nan,nan
-2.0007,-0.52637,-2.22186
16.4640,nan,nan
10.9901,0.59333,1.69664
0.1615,-0.14103,-0.13115
-15.3445,nan,nan
-6.3000,nan,nan
7.2364,0.65532,1.64574
-4.7665,-0.54431,-1.61284
8.8186,0.70761,nan
-13.0772,nan,nan
-7.9354,nan,nan
-6.5806,-0.67690,-1.93387
4.2317,0.19898,1.05941
-5.6745,nan,nan
3.9985,0.39793,1.53640
-4.7394,-0.44627,-0.87860
-11.1330,nan,nan
9.2941,0.24168,0.15652
-7.5433,nan,nan
4.2244,0.18988,0.99118
-4.7274,-0.72398,nan
-7.1195,-0.61933,-1.62635
-15.2676,nan,nan
2.1492,-0.25521,-1.30171
9.5461,nan,nan
-16.4450,nan,nan
6.7221,0.07628,-0.42103
10.8149,nan,nan
-7.4963,nan,nan
11.2013,0.63205,1.71000
5.3661,0.59327,1.64830
-18.3942,nan,nan
6.8218,0.28823,0.94342
2.7124,0.26934,1.77588
14.0847,nan,nan
-8.2695,nan,nan
3.8377,-0.16735,-1.25591
-0.8025,-0.06095,0.73862
-2.6457,-0.46800,-1.55009
-2.1558,-0.34514,-1.14498
14.5509,nan,nan
9.4783,0.65195,1.84591
3.3014,-0.13088,-0.96605
-3.0075,-0.44060,-1.22688
-4.0049,-0.65078,nan
4.9800,0.01051,-0.43583
7.8514,0.18713,0.02108
5.4264,0.47035,1.86572
10.9488,nan,nan
-4.3288,-0.57281,-1.64420
13.7230,nan,nan
-6.7300,-0.56754,-1.26964
1.4724,-0.36292,-2.15198
-1.5921,-0.44990,-1.35199
0.7635,-0.21236,-0.61794
13.6760,nan,nan
-0.0377,-0.25346,-0.80632
0.7717,-0.37193,-1.91543
9.8611,nan,nan
-4.1069,-0.62951,nan
-1.6118,-0.12642,0.51325
-5.2979,-0.49548,-0.97182
-0.8418,-0.09359,0.52702
5.3241,0.26007,1.20138
-14.0900,nan,nan
-8.9890,nan,nan
-2.4958,-0.28878,-0.41592
-14.7646,nan,nan
4.4212,0.38048,1.62098
-1.8512,-0.53373,nan
1.1812,0.06802,1.13562
4.1796,0.37023,1.97503
-8.7129,nan,nan
4.9511,0.35038,1.63649
-13.9802,nan,nan
-12.3346,nan,nan
-8.4465,nan,nan
12.3206,nan,nan
11.7967,nan,nan
-9.5353,nan,nan
16.2185,nan,nan
-0.9655,-0.12356,0.37330
7.2061,0.67538,1.48757
-5.3915,-0.59914,-1.56262
1.1889,-0.20115,-0.89557
15.6732,nan,nan
2.2045,-0.26880,-1.73841
-0.1174,-0.00448,0.87385
1.1730,-0.01034,0.52153
6.9341,0.50982,1.99990
12.8277,nan,nan
-3.2402,-0.31768,-0.29697
4.8762,0.48280,1.97807
9.2168,0.36409,0.80083
-2.6134,-0.43858,-1.39148
0.7912,-0.30734,-1.36135
7.4037,nan,nan
-7.5048,nan,nan
-7.6567,-0.71867,-1.93771
-12.3313,nan,nan
-5.5421,nan,nan
-16.5663,nan,nan
1.3956,-0.02370,0.50688
2.6940,0.23673,1.59076
-12.1294,nan,nan
-0.1009,-0.31442,-1.42586
20.3510,nan,nan
17.2604,nan,nan
-13.7060,nan,nan
-5.5398,-0.71387,nan
1.2383,-0.01668,0.58136
7.3160,0.14788,-0.09562
-1.6716,-0.19302,0.08240
3.1331,-0.10113,-0.62703
15.3335,nan,nan
-12.0773,nan,nan
3.1244,0.19908,1.50606
2.4916,-0.14177,-0.74335
-11.6924,nan,nan
-24.0355,nan,nan
11.7229,nan,nan
8.0378,0.70343,1.61482
9.1399,0.54614,1.69428
-10.6961,nan,nan
9.7110,nan,nan
-7.7284,nan,nan
7.4672,0.46601,1.88867
7.2055,0.10200,-0.39016
-8.6015,-0.73263,-1.92660
4.2029,0.30898,1.59451
-1.6782,-0.36473,-1.07283
7.7587,0.71872,1.49093
6.3246,0.31531,1.22158
-3.4407,-0.67547,nan
-12.1623,nan,nan
9.2181,0.63252,1.83720
1.6088,-0.19035,-1.06291
-0.3383,-0.34085,-1.20463
15.8744,nan,nan
-14.5642,nan,nan
1.1191,-0.36293,-1.96915
8.9087,0.20385,-0.07034
-2.2601,-0.58417,nan
-12.8533,nan,nan
10.2678,0.51995,1.43477
-8.2434,nan,nan
-0.1404,-0.41979,-2.09400
-8.2332,nan,nan
1.1679,-0.36825,-2.03227
-9.4403,nan,nan
5.0843,-0.16473,-1.51841
6.1642,0.12233,0.03191
6.5237,0.50769,1.99212
19.9825,nan,nan
-17.3601,nan,nan
-10.1773,nan,nan
-12.2696,nan,nan
15.4745,nan,nan
-8.4743,nan,nan
6.7561,0.51253,1.69696
0.6616,0.08205,1.09735
-8.8479,-0.74769,-2.16640
-13.1339,nan,nan
11.2540,0.60695,1.63797
10.2369,0.65010,2.06328
-7.5926,nan,nan
11.4224,0.49453,1.11119
